date,mrp,smb,hml,rf,datenum
20100629,-0.0323,-0.0066,-0.0128,0.001,734318
20100630,-0.0098,0.0004,-0.0036,0.001,734319
20100701,-0.004,-0.0031,-0.0043,0.001,734320
20100702,-0.005,-0.003,-0.0043,0.001,734321
20100706,0.0033,-0.02,0.0008,0.001,734325
20100707,0.0317,0.0006,0.0045,0.001,734326
20100708,0.01,0.0057,0,0.001,734327
20100709,0.0081,0.0065,0.0058,0.001,734328
20100712,-0.0011,-0.0119,0.0005,0.001,734331
20100713,0.0176,0.0162,0.0065,0.001,734332
20100714,-0.0004,-0.0016,-0.0076,0.001,734333
20100715,0.0002,-0.0087,-0.001,0.001,734334
20100716,-0.0294,-0.0056,-0.0096,0.001,734335
20100719,0.0054,-0.0015,-0.0019,0.001,734338
20100720,0.0123,0.0065,0.0014,0.001,734339
20100721,-0.013,-0.0038,-0.0041,0.001,734340
20100722,0.0237,0.0125,0.0054,0.001,734341
20100723,0.0105,0.0147,-0.0023,0.001,734342
20100726,0.0123,0.0087,0.0011,0.001,734345
20100727,-0.0023,-0.0033,0.0035,0.001,734346
20100728,-0.0082,-0.009,-0.0003,0.001,734347
20100729,-0.0036,0.0032,0.0067,0.001,734348
20100730,0.0006,0.0003,-0.0022,0.001,734349
20100802,0.0208,-0.0054,0.0015,0.001,734352
20100803,-0.0055,-0.0041,-0.0051,0.001,734353
20100804,0.0074,0.0043,-0.001,0.001,734354
20100805,-0.0022,-0.0082,0.0013,0.001,734355
20100806,-0.0036,-0.0017,-0.0034,0.001,734356
20100809,0.0062,0.0062,0.0005,0.001,734359
20100810,-0.0079,-0.0123,-0.0021,0.001,734360
20100811,-0.0291,-0.0107,-0.0065,0.001,734361
20100812,-0.005,-0.0007,-0.0005,0.001,734362
20100813,-0.0047,-0.008,0.0024,0.001,734363
20100816,0.001,0.0092,-0.002,0.001,734366
20100817,0.0131,0.0059,-0.0018,0.001,734367
20100818,0.0021,0.0006,0.0007,0.001,734368
20100819,-0.0174,-0.0082,-0.0042,0.001,734369
20100820,-0.0028,0.0027,-0.0023,0.001,734370
20100823,-0.005,-0.0094,-0.0044,0.001,734373
20100824,-0.0148,0.0014,0.0014,0.001,734374
20100825,0.0045,0.0104,0.0001,0.001,734375
20100826,-0.0076,-0.0008,-0.0026,0.001,734376
20100827,0.0182,0.0092,0.0037,0.001,734377
20100830,-0.0154,-0.0082,-0.004,0.001,734380
20100831,0.0001,-0.0026,0.0077,0.001,734381
20100901,0.0305,0.0062,0.0047,0.001,734382
20100902,0.0097,0.0026,-0.0031,0.001,734383
20100903,0.0135,0.0035,0.002,0.001,734384
20100907,-0.0123,-0.0079,-0.0074,0.001,734388
20100908,0.0065,0.0002,0.0017,0.001,734389
20100909,0.0044,-0.0048,0.0054,0.001,734390
20100910,0.0045,-0.0009,-0.0013,0.001,734391
20100913,0.013,0.0112,0.0021,0.001,734394
20100914,-0.0006,-0.0023,-0.0052,0.001,734395
20100915,0.0036,0.001,-0.0023,0.001,734396
20100916,-0.0007,-0.0051,-0.0069,0.001,734397
20100917,0.0015,0.0061,-0.0058,0.001,734398
20100920,0.016,0.0113,0.0023,0.001,734401
20100921,-0.0031,-0.0027,-0.0032,0.001,734402
20100922,-0.0052,-0.0056,-0.0053,0.001,734403
20100923,-0.0078,-0.0007,-0.0068,0.001,734404
20100924,0.0219,0.0098,0.0048,0.001,734405
20100927,-0.0046,0.0021,-0.0044,0.001,734408
20100928,0.0058,0.0053,0.001,0.001,734409
20100929,-0.0017,0.0066,-0.0025,0.001,734410
20100930,-0.0026,0.0004,0.0029,0.001,734411
20101001,0.0043,-0.0006,0.0021,0.001,734412
20101004,-0.0088,-0.0072,-0.0007,0.001,734415
20101005,0.0211,0.0077,0.0014,0.001,734416
20101006,-0.001,-0.0039,0.0047,0.001,734417
20101007,-0.0016,0.0005,-0.0028,0.001,734418
20101008,0.0074,0.0096,-0.0013,0.001,734419
20101011,0.0004,0.0002,-0.0022,0.001,734422
20101012,0.0039,-0.0004,0.0019,0.001,734423
20101013,0.0078,0.0087,-0.0036,0.001,734424
20101014,-0.0038,0.0041,-0.0041,0.001,734425
20101015,0.0018,-0.0005,-0.0128,0.001,734426
20101018,0.0069,0.0006,0.0085,0.001,734429
20101019,-0.0167,-0.0068,0.0026,0.001,734430
20101020,0.0106,0.0007,0.0009,0.001,734431
20101021,0.0011,-0.0053,-0.0051,0.001,734432
20101022,0.0029,0.0046,-0.0043,0.001,734433
20101025,0.0031,0.0047,-0.0052,0.001,734436
20101026,0.0002,0.0001,-0.0017,0.001,734437
20101027,-0.0024,-0.0018,-0.0022,0.001,734438
20101028,0.0008,-0.006,-0.0006,0.001,734439
20101029,0.0007,0.0033,-0.0011,0.001,734440
20101101,-0.0001,-0.0065,-0.0021,0.001,734443
20101102,0.009,0.0134,-0.0017,0.001,734444
20101103,0.0038,-0.0006,0.0017,0.001,734445
20101104,0.0194,0.0047,0.0105,0.001,734446
20101105,0.0041,-0.001,0.0068,0.001,734447
20101108,-0.0012,0.0045,-0.0048,0.001,734450
20101109,-0.0078,-0.0041,-0.0049,0.001,734451
20101110,0.0053,0.0058,0.0055,0.001,734452
20101111,-0.0035,-0.0006,-0.0007,0.001,734453
20101112,-0.0129,-0.0049,-0.0006,0.001,734454
20101115,-0.0009,0.002,0.0032,0.001,734457
20101116,-0.0158,-0.0034,-0.0015,0.001,734458
20101117,0.0007,0.0034,-0.0029,0.001,734459
20101118,0.0157,0.0031,-0.003,0.001,734460
20101119,0.0031,0.0021,-0.0018,0.001,734461
20101122,-0.0002,0.006,-0.0094,0.001,734464
20101123,-0.0138,0.0048,-0.0029,0.001,734465
20101124,0.0159,0.0066,0.0003,0.001,734466
20101126,-0.0067,0.003,-0.0035,0.001,734468
20101129,-0.0013,0.0001,0.0042,0.001,734471
20101130,-0.0059,-0.0021,-0.0003,0.001,734472
20101201,0.0212,-0.0009,0.0001,0.001,734473
20101202,0.0123,-0.0031,0.0066,0.001,734474
20101203,0.0035,0.0039,0.0005,0.001,734475
20101206,-0.0003,0.0076,-0.0006,0.001,734478
20101207,0.001,0.0036,-0.0001,0.001,734479
20101208,0.0032,-0.0051,0.0062,0.001,734480
20101209,0.0042,-0.0001,0.0065,0.001,734481
20101210,0.0067,0.0044,0.0024,0.001,734482
20101213,-0.0008,-0.0058,0.0007,0.001,734485
20101214,0.0009,-0.0004,-0.0011,0.001,734486
20101215,-0.0049,0.002,-0.0055,0.001,734487
20101216,0.007,0.0043,-0.0011,0.001,734488
20101217,0.0015,0.0015,-0.0013,0.001,734489
20101220,0.0023,0.0001,0.0033,0.001,734492
20101221,0.0068,0.0035,0.0073,0.001,734493
20101222,0.0029,-0.0039,0.0082,0.001,734494
20101223,-0.0016,0.0007,-0.0032,0.001,734495
20101227,0.0008,0.0022,0.0044,0.001,734499
20101228,0,-0.0043,0.0018,0.001,734500
20101229,0.0017,0.0011,-0.0016,0.001,734501
20101230,-0.0011,0.0014,-0.0003,0.001,734502
20101231,-0.001,-0.0064,0.0023,0.001,734503
20110103,0.0118,0.0053,0.0079,0,734506
20110104,-0.0026,-0.0138,0.0011,0,734507
20110105,0.0059,0.0061,0.0014,0,734508
20110106,-0.0015,-0.0006,-0.0032,0,734509
20110107,-0.0021,-0.0026,-0.0031,0,734510
20110110,-0.0002,0.0056,-0.0015,0,734513
20110111,0.0039,0.0012,0.0022,0,734514
20110112,0.0087,-0.0006,0.0025,0,734515
20110113,-0.0017,0.0013,-0.0038,0,734516
20110114,0.0069,0.0002,0.0049,0,734517
20110118,0.0018,0.0007,-0.0042,0,734521
20110119,-0.0124,-0.0137,-0.0054,0,734522
20110120,-0.003,-0.0104,0.0076,0,734523
20110121,0.0011,-0.0089,0.0056,0,734524
20110124,0.0065,0.0031,-0.0022,0,734527
20110125,0.0002,-0.0002,0.001,0,734528
20110126,0.006,0.0137,-0.0022,0,734529
20110127,0.0026,-0.0009,0.0029,0,734530
20110128,-0.0188,-0.0088,-0.0003,0,734531
20110131,0.0071,-0.0001,-0.0027,0,734534
20110201,0.0175,0.005,0.0053,0.001,734535
20110202,-0.0026,-0.0008,-0.004,0.001,734536
20110203,0.0026,-0.0006,-0.001,0.001,734537
20110204,0.0029,0.0009,-0.0056,0.001,734538
20110207,0.007,0.0027,0.0059,0.001,734541
20110208,0.0048,0.0023,0,0.001,734542
20110209,-0.0031,-0.002,-0.0009,0.001,734543
20110210,0.0012,0.0035,-0.003,0.001,734544
20110211,0.0067,0.0042,0.0051,0.001,734545
20110214,0.003,0.0022,-0.0015,0.001,734548
20110215,-0.0038,-0.0037,0.003,0.001,734549
20110216,0.0068,0.0038,0.0026,0.001,734550
20110217,0.0037,0.0038,0.0021,0.001,734551
20110218,0.0012,-0.0014,-0.0003,0.001,734552
20110222,-0.0219,-0.0053,-0.0035,0.001,734556
20110223,-0.0078,-0.0118,0.004,0.001,734557
20110224,0.0004,0.0072,-0.0032,0.001,734558
20110225,0.0122,0.0101,0.0022,0.001,734559
20110228,0.0042,-0.0045,0.0027,0.001,734562
20110301,-0.0158,-0.003,-0.0006,0,734563
20110302,0.0028,0.0033,-0.0023,0,734564
